day,tx_count,l2_fee_eth,da_gas_eth
2024-01-01 00:00:00.000 UTC,1.406054e+06,421.38687180526307,39.82473429321732
2024-01-02 00:00:00.000 UTC,1.521718e+06,651.1614496429462,66.67547938897044
2024-01-03 00:00:00.000 UTC,1.759754e+06,1393.7194303563858,144.44045702736173
2024-01-04 00:00:00.000 UTC,1.55584e+06,765.9553126217812,82.23845663314384
2024-01-05 00:00:00.000 UTC,1.332187e+06,598.7826806727353,61.4713029319352
2024-01-06 00:00:00.000 UTC,1.086818e+06,397.0676148074638,43.60024162952154
2024-01-07 00:00:00.000 UTC,1.046072e+06,569.6614026036636,66.9617131364816
2024-01-08 00:00:00.000 UTC,1.310727e+06,948.7597691363244,75.2540868795495
2024-01-09 00:00:00.000 UTC,1.685246e+06,1014.2922515408873,83.88091420693684
2024-01-10 00:00:00.000 UTC,1.582529e+06,1891.866545186656,143.3106903178622
2024-01-11 00:00:00.000 UTC,1.452495e+06,1696.6554895327847,114.63156313007346
2024-01-12 00:00:00.000 UTC,1.45072e+06,1218.0812151000252,86.84762993641407
2024-01-13 00:00:00.000 UTC,1.108348e+06,444.7284675044635,42.348719007417465
2024-01-14 00:00:00.000 UTC,962009,596.012770583305,62.12409841914913
2024-01-15 00:00:00.000 UTC,1.052934e+06,566.0185931536394,51.19980033178974
2024-01-16 00:00:00.000 UTC,1.02311e+06,755.6001404446457,73.35429741907359
2024-01-17 00:00:00.000 UTC,1.030952e+06,719.6422240479978,79.40603600029723
2024-01-18 00:00:00.000 UTC,1.09271e+06,889.3216854883322,83.76078043347007
2024-01-19 00:00:00.000 UTC,1.168305e+06,794.4297724987088,79.4853345244225
2024-01-20 00:00:00.000 UTC,1.174303e+06,359.90178644627366,40.51723354526996
2024-01-21 00:00:00.000 UTC,1.046797e+06,316.184666722567,30.708807591600277
2024-01-22 00:00:00.000 UTC,1.482165e+06,781.2050363032042,58.55789550114504
2024-01-23 00:00:00.000 UTC,1.419908e+06,670.2596863464444,51.76072144093117
2024-01-24 00:00:00.000 UTC,1.385958e+06,431.99306224288136,35.96963678985698
2024-01-25 00:00:00.000 UTC,1.221267e+06,567.6534213255252,62.451917089920244
2024-01-26 00:00:00.000 UTC,1.135774e+06,497.11403744666296,48.07156371014057
2024-01-27 00:00:00.000 UTC,1.043074e+06,280.2611520105218,28.259940036815028
2024-01-28 00:00:00.000 UTC,1.183478e+06,354.3705997256815,30.98388594314459
2024-01-29 00:00:00.000 UTC,1.208121e+06,428.0827381444103,37.1304625842524
2024-01-30 00:00:00.000 UTC,1.178153e+06,644.6885881043233,70.31829387968283
2024-01-31 00:00:00.000 UTC,1.128198e+06,627.294863562486,64.50709674390284
2024-02-01 00:00:00.000 UTC,1.064009e+06,591.7333227938332,60.337881257279534
2024-02-02 00:00:00.000 UTC,992222,434.46018982050595,46.74320196295712
2024-02-03 00:00:00.000 UTC,952400,352.78379856836204,36.42327387001059
2024-02-04 00:00:00.000 UTC,958450,339.07363669713675,32.31925708386919
2024-02-05 00:00:00.000 UTC,1.042803e+06,455.01700067799675,43.16240158276274
2024-02-06 00:00:00.000 UTC,1.023789e+06,650.7217876557389,74.51374204687383
2024-02-07 00:00:00.000 UTC,1.080779e+06,788.6443311247157,93.46747005022794
2024-02-08 00:00:00.000 UTC,1.004444e+06,986.9352025496966,116.14420904177115
2024-02-09 00:00:00.000 UTC,949225,1114.8144562314494,131.16217046173318
2024-02-10 00:00:00.000 UTC,1.001251e+06,543.2538480941055,75.78165637388324
2024-02-11 00:00:00.000 UTC,1.059818e+06,506.9857489374011,63.07638802098672
2024-02-12 00:00:00.000 UTC,1.107901e+06,941.0620747235436,91.87370985873648
2024-02-13 00:00:00.000 UTC,1.196906e+06,712.6406094555681,82.88563745266265
2024-02-14 00:00:00.000 UTC,1.109785e+06,646.2045881936076,66.25159094859518
2024-02-15 00:00:00.000 UTC,1.130718e+06,812.7213505255049,84.83373375398172
2024-02-16 00:00:00.000 UTC,1.114421e+06,603.8367976463126,69.32438887010471
2024-02-17 00:00:00.000 UTC,1.059947e+06,446.13229223734936,47.35649542862455
2024-02-18 00:00:00.000 UTC,1.082699e+06,465.2608802723859,53.63184896521421
