date,tx_count,l2_fee_eth,l1_gas_eth
2024-01-01,1406054,0.0002996946573924,39.82473429321733
2024-01-02,1521718,0.0004279120373437,66.67547938897044
2024-01-03,1759754,0.0007919967395195,144.44045702736173
2024-01-04,1555840,0.0004923098214609,82.23845663314383
2024-01-05,1332187,0.0004494734452992,61.47130293193519
2024-01-06,1086818,0.0003653487656695,43.60024162952154
2024-01-07,1046072,0.0005445718866422,66.96171313648159
2024-01-08,1310727,0.0007238423936764,75.2540868795495
2024-01-09,1685246,0.0006018659896186,83.88091420693684
2024-01-10,1582529,0.0011954703801236,143.31069031786217
2024-01-11,1452495,0.0011680973012181,114.63156313007345
2024-01-12,1450720,0.0008396390861779,86.84762993641404
2024-01-13,1108348,0.0004012534578529,42.348719007417465
2024-01-14,962009,0.0006195500983704,62.12409841914912
2024-01-15,1052934,0.0005375632215823,51.19980033178973
2024-01-16,1023110,0.0007385326508827,73.35429741907357
2024-01-17,1030952,0.0006980365953487,79.40603600029725
2024-01-18,1092710,0.0008138679846329,83.76078043347009
2024-01-19,1168305,0.0006799849119011,79.48533452442253
2024-01-20,1174303,0.0003064811947565,40.51723354526997
2024-01-21,1046797,0.0003020496492849,30.70880759160028
2024-01-22,1482165,0.0005270702224808,58.55789550114505
2024-01-23,1419908,0.0004720444467855,51.76072144093116
2024-01-24,1385958,0.0003116927513264,35.96963678985696
2024-01-25,1221267,0.0004648069761366,62.45191708992025
2024-01-26,1135774,0.0004376874602224,48.07156371014058
2024-01-27,1043074,0.0002686876981024,28.259940036815024
2024-01-28,1183478,0.0002994315058883,30.9838859431446
2024-01-29,1208121,0.0003543376351742,37.130462584252406
2024-01-30,1178153,0.0005472027725638,70.31829387968284
2024-01-31,1128198,0.0005560148693425,64.50709674390284
2024-02-01,1064009,0.0005561356368169,60.33788125727953
2024-02-02,992222,0.0004378659108752,46.74320196295712
2024-02-03,952400,0.0003704155801851,36.42327387001059
2024-02-04,958450,0.0003537729007221,32.31925708386919
2024-02-05,1042803,0.0004363403257163,43.16240158276274
2024-02-06,1023789,0.0006356014644186,74.51374204687383
2024-02-07,1080779,0.0007296999026857,93.46747005022794
2024-02-08,1004444,0.0009825686673918,116.14420904177112
2024-02-09,949225,0.0011744470027984,131.16217046173318
2024-02-10,1001251,0.0005425750866606,75.78165637388324
2024-02-11,1059818,0.0004783705777194,63.07638802098672
2024-02-12,1107901,0.0008494098973857,91.87370985873648
2024-02-13,1196906,0.0005954023201952,82.88563745266265
2024-02-14,1109785,0.0005822790794556,66.25159094859518
2024-02-15,1130718,0.0007187657316196,84.83373375398172
2024-02-16,1114421,0.0005418390335845,69.3243888701047
2024-02-17,1059947,0.0004209005660069,47.35649542862455
2024-02-18,1082699,0.000429723201252,53.63184896521421
2024-02-19,1093430,0.0006134712338891,82.63209071085986
2024-02-20,1210490,0.0007218935749019,104.22845891018652
2024-02-21,1156217,0.0007331272151926,107.02716906212684
2024-02-22,1127440,0.0008274984682428,110.8958682303618
2024-02-23,1079870,0.0010353718032508,98.8123507779715
2024-02-24,1081370,0.0005164664521839,65.77283040798939
2024-02-25,1137416,0.0006015766376931,72.33085800043442
2024-02-26,1196656,0.0009262365289229,109.71979474015112
