date,tx_count,l2_fee_eth,l1_gas_eth
2024-01-01,402799,6.529107944170776e-05,37.81200904484844
2024-01-02,418946,7.631441736286011e-05,64.45285459379897
2024-01-03,413320,0.0001281418130255,73.07929433622346
2024-01-04,394855,2.4596312537731656e-05,33.665509645241094
2024-01-05,384685,2.8320242659202492e-05,28.055249531506945
2024-01-06,372227,2.5494032240366003e-05,22.2735769891913
2024-01-07,325246,2.1807369579061016e-05,31.565951079273795
2024-01-08,401657,3.226350078507259e-05,32.7139092683971
2024-01-09,455383,4.581882879743648e-05,33.27416303658922
2024-01-10,490335,3.1844151143889134e-05,64.36852872478609
2024-01-11,443896,2.647742794569848e-05,52.58034495477634
2024-01-12,466334,3.220689998729257e-05,42.89068541007248
2024-01-13,415718,1.5005668193734018e-05,23.014184776242463
2024-01-14,336458,1.726798185579602e-05,33.69847172613099
2024-01-15,413050,5.1840569463218136e-05,63.66619553666728
2024-01-16,402375,6.62148637689196e-05,96.74618086460929
2024-01-17,381253,2.9540834940796184e-05,69.9992478138545
2024-01-18,348437,1.9130445465524983e-05,47.03357811018507
2024-01-19,359150,2.2885288386424098e-05,39.29785675302579
2024-01-20,401503,1.2859602196602265e-05,20.842025283092
2024-01-21,349544,1.1116906007493866e-05,16.00813359443526
2024-01-22,383444,1.714413143176179e-05,21.77638137951809
2024-01-23,439471,1.704764565327391e-05,21.64785855791499
2024-01-24,500802,9.912166769318764e-06,17.409965993962185
2024-01-25,460390,1.2255050692339871e-05,31.47086443190961
2024-01-26,402391,1.6142247458184263e-05,25.250520391328592
2024-01-27,352451,1.3471572046928258e-05,15.657595715910132
2024-01-28,408526,1.6315528578373595e-05,15.51282240900028
2024-01-29,394974,2.1239398712926967e-05,25.15990308873501
2024-01-30,375193,5.929359742886791e-05,75.12151458390767
2024-01-31,378256,9.062428677300835e-05,71.73361979161189
2024-02-01,408744,1.804911992592115e-05,47.06587397287833
2024-02-02,372483,1.612234603942849e-05,29.391696584134312
2024-02-03,351920,1.2437508999178389e-05,25.238121508080575
2024-02-04,335797,1.3546023547572228e-05,20.17932286442049
2024-02-05,350755,1.441429926053664e-05,23.082898613788327
2024-02-06,348379,1.4086681944984926e-05,41.77234517178445
2024-02-07,340648,1.2513530335179669e-05,49.29514429047338
2024-02-08,300326,1.1262374712826736e-05,56.12777503430983
2024-02-09,279586,1.4543450626900122e-05,63.63866634073715
2024-02-10,298579,1.0856308138485787e-05,34.44622322768418
2024-02-11,317738,1.1474387051048391e-05,28.57050924314731
2024-02-12,343466,5.101651238446063e-05,101.6323726172967
2024-02-13,395343,6.700630370339556e-05,95.25617435871668
2024-02-14,370332,7.269303875813786e-05,75.74007122319745
2024-02-15,361267,3.345735208498306e-05,60.008066224620464
2024-02-16,386879,1.4349520116914638e-05,48.1481320830473
2024-02-17,410482,9.964639981419316e-06,35.230437687736924
2024-02-18,400107,1.2224061082189788e-05,44.31799051881292
2024-02-19,433693,1.414577862970836e-05,65.77038000999163
2024-02-20,486312,1.8647623875079787e-05,93.20236506726238
2024-02-21,481970,1.6841597579219764e-05,77.49093437821901
2024-02-22,469069,1.621988270594459e-05,91.24731596717446
2024-02-23,433994,1.376205598803132e-05,64.74665857235249
2024-02-24,434887,1.1256440024220874e-05,44.741229737928485
2024-02-25,440631,1.3176862638359047e-05,46.868024779206266
2024-02-26,460406,2.1919611623508585e-05,88.4174345431094
2024-02-27,480915,3.054690183054948e-05,123.1661271805956
2024-02-28,507096,6.623825099154368e-05,186.606513149975
2024-02-29,508853,6.375589553592565e-05,201.68203126476956
2024-03-01,430161,4.898424085719638e-05,138.70326517751948
2024-03-02,424795,4.599678771440566e-05,115.57793701498515
2024-03-03,424242,3.079135665847142e-05,126.06926374056204
2024-03-04,399383,3.0187296288024915e-05,154.9700920182462
2024-03-05,484827,6.623750076570433e-05,237.19675345338837
2024-03-06,445821,3.423598384321998e-05,121.63884064381242
2024-03-07,418310,1.9306162159445212e-05,101.94244342302488
2024-03-08,405248,2.124529522105119e-05,90.95452636254927
2024-03-09,449243,1.689803668441036e-05,100.37841779779671
2024-03-10,361134,1.441196205432526e-05,66.4600012415192
2024-03-11,382494,2.280303519274306e-05,77.93713117613014
2024-03-12,371029,2.922372484153913e-05,73.53033501177035
2024-03-13,345129,2.419159742932856e-05,78.96500972666651
2024-03-14,558955,3.449347839463585e-05,0.2804058282767069
2024-03-15,767051,2.0009303116386786e-05,0.167490407812329
2024-03-16,628116,2.351903403289162e-05,0.1161324401000399
2024-03-17,585381,1.7666227260338295e-05,0.139828507396368
2024-03-18,661566,1.350818094526405e-05,0.186330835219158
2024-03-19,778447,1.6503577389365534e-05,0.195448994876709
2024-03-20,781329,2.3114420385132737e-05,0.1750490852159699
2024-03-21,672231,1.55274099148732e-05,0.144387980771727
2024-03-22,674600,1.2596528922442765e-05,0.1097697068690039
2024-03-23,598888,9.089565308753527e-06,0.076173942417489
2024-03-24,599511,1.3701735173205771e-05,0.071538819745932
2024-03-25,717912,1.8571900104355656e-05,0.166485628659441
2024-03-26,844359,2.6476272646977544e-05,0.2211390811339499
2024-03-27,1018610,1.8644399403137977e-05,0.2547312611088839
2024-03-28,986091,1.7905294366948442e-05,0.2359143418684079
2024-03-29,929912,1.749746217495322e-05,0.195227437083756
2024-03-30,876545,2.228681264224976e-05,0.160202958236874
2024-03-31,744395,2.3424333857146326e-05,0.151397860737606
2024-04-01,643630,2.822500401995745e-05,0.173700796456467
2024-04-02,679157,3.5537815742491346e-05,0.247788855372576
2024-04-03,677434,2.761867352502432e-05,0.219842910012012
2024-04-04,801575,2.507410940313952e-05,0.2070825243009809
2024-04-05,793301,1.953352553102532e-05,0.1249776236437259
2024-04-06,551103,1.435027678427145e-05,0.059798714550309
2024-04-07,627488,1.1143733430231553e-05,0.06706455203427
2024-04-08,686905,2.6856396721339545e-05,0.1793448926865749
2024-04-09,689407,2.827259254829596e-05,0.203249497040898
2024-04-10,709966,3.262065744642085e-05,0.145038374718174
2024-04-11,718026,2.820266479261001e-05,0.1514800317030839
2024-04-12,714254,6.874618453638176e-05,0.182111283508581
