day,tx_count,l2_fee_eth,da_gas_eth
2024-01-01 00:00:00.000 UTC,402799,26.299181508040643,37.81200904484844
2024-01-02 00:00:00.000 UTC,418946,31.971619896500776,64.45285459379897
2024-01-03 00:00:00.000 UTC,413320,52.96357415971224,73.07929433622347
2024-01-04 00:00:00.000 UTC,394855,9.71197698708561,33.665509645241094
2024-01-05 00:00:00.000 UTC,384685,10.894372547355186,28.05524953150695
2024-01-06 00:00:00.000 UTC,372227,9.489567138734861,22.2735769891913
2024-01-07 00:00:00.000 UTC,325246,7.092759726111151,31.565951079273795
2024-01-08 00:00:00.000 UTC,401657,12.958860934830001,32.7139092683971
2024-01-09 00:00:00.000 UTC,455383,20.86511571426532,33.27416303658922
2024-01-10 00:00:00.000 UTC,490335,15.61430185113865,64.36852872478609
2024-01-11 00:00:00.000 UTC,443896,11.753224355384269,52.58034495477634
2024-01-12 00:00:00.000 UTC,466334,15.019172498674262,42.890685410072464
2024-01-13 00:00:00.000 UTC,415718,6.238126370162804,23.014184776242455
2024-01-14 00:00:00.000 UTC,336458,5.809950639237383,33.69847172613099
2024-01-15 00:00:00.000 UTC,413050,21.41274721678251,63.66619553666726
2024-01-16 00:00:00.000 UTC,402375,26.64320580901942,96.74618086460929
2024-01-17 00:00:00.000 UTC,381253,11.262531943683145,69.9992478138545
2024-01-18 00:00:00.000 UTC,348437,6.665755026670786,47.03357811018507
2024-01-19 00:00:00.000 UTC,359150,8.219251323984297,39.29785675302581
2024-01-20 00:00:00.000 UTC,401503,5.163168860742679,20.842025283091996
2024-01-21 00:00:00.000 UTC,349544,3.885847793483448,16.00813359443526
2024-01-22 00:00:00.000 UTC,383444,6.573814332720599,21.77638137951809
2024-01-23 00:00:00.000 UTC,439471,7.491945882889952,21.64785855791499
2024-01-24 00:00:00.000 UTC,500802,4.964032942408524,17.409965993962185
2024-01-25 00:00:00.000 UTC,460390,5.642102788246539,31.47086443190961
2024-01-26 00:00:00.000 UTC,402391,6.495495096946285,25.250520391328596
